week,guinea,liberia,sierraleone,date
1,2,0,0,2013-12-29
2,0,0,0,2014-01-05
3,0,0,0,2014-01-12
4,5,0,0,2014-01-19
5,3,0,0,2014-01-26
6,5,0,0,2014-02-02
7,3,0,0,2014-02-09
8,5,0,0,2014-02-16
9,9,0,0,2014-02-23
10,8,0,0,2014-03-02
11,27,0,0,2014-03-09
12,17,1,0,2014-03-16
13,28,1,0,2014-03-23
14,27,3,0,2014-03-30
15,27,1,0,2014-04-06
16,16,1,0,2014-04-13
17,10,0,0,2014-04-20
18,12,1,0,2014-04-27
19,11,4,0,2014-05-04
20,8,0,0,2014-05-11
21,27,1,3,2014-05-18
22,50,0,18,2014-05-25
23,28,3,36,2014-06-01
24,34,18,71,2014-06-08
25,18,28,60,2014-06-15
26,24,27,54,2014-06-22
27,4,26,92,2014-06-29
28,6,38,112,2014-07-06
29,8,36,76,2014-07-13
30,43,86,103,2014-07-20
31,27,106,149,2014-07-27
32,21,208,145,2014-08-03
33,44,289,131,2014-08-10
34,78,394,178,2014-08-17
35,104,362,201,2014-08-24
36,105,431,224,2014-08-31
37,95,454,240,2014-09-07
38,83,480,418,2014-09-14
39,130,404,410,2014-09-21
40,105,291,404,2014-09-28
41,143,272,428,2014-10-05
42,115,192,543,2014-10-12
43,95,118,558,2014-10-19
44,95,122,617,2014-10-26
45,162,130,614,2014-11-02
46,100,100,533,2014-11-09
47,170,82,525,2014-11-16
48,93,74,646,2014-11-23
49,122,66,451,2014-11-30
50,88,34,462,2014-12-07
51,203,15,411,2014-12-14
52,109,25,507,2014-12-21
53,78,9,397,2014-12-28
54,57,4,330,2015-01-04
55,22,14,172,2015-01-11
56,48,7,133,2015-01-18
57,48,12,116,2015-01-25
58,71,4,119,2015-02-01
59,61,11,120,2015-02-08
60,39,4,99,2015-02-15
61,53,1,78,2015-02-22
62,59,1,107,2015-03-01
63,93,0,58,2015-03-08
64,46,2,48,2015-03-15
65,55,1,38,2015-03-22
66,21,0,31,2015-03-29
67,31,0,19,2015-04-05
68,17,0,12,2015-04-12
69,22,0,8,2015-04-19
70,9,0,12,2015-04-26
71,7,0,0,2015-05-03
72,31,0,0,2015-05-10
73,7,0,0,2015-05-17
