Date,Cases
2009-12-11,2393
2009-12-12,668
2009-12-13,421
2009-12-14,3299
2009-12-15,2742
2009-12-16,2465
2009-12-17,2365
2009-12-18,1899
2009-12-19,494
2009-12-20,337
2009-12-21,2136
2009-12-22,1809
2009-12-23,1649
2009-12-24,940
2009-12-25,242
2009-12-26,516
2009-12-27,384
2009-12-28,2100
2009-12-29,2187
2009-12-30,1827
2009-12-31,1194
2010-01-01,327
2010-01-02,549
2010-01-03,410
2010-01-04,2939
2010-01-05,2999
2010-01-06,2892
2010-01-07,2283
2010-01-08,2252
2010-01-09,553
2010-01-10,327
2010-01-11,2915
2010-01-12,2534
2010-01-13,2321
2010-01-14,1983
