serial_interval,magnitude,R_eff,overdispersion,window_len_fct,NegBin-L,NegBin-Q,Poiss,Q-Poiss
RSV,low,1.5,0.5,long,749,734,1000,1000
RSV,low,1.5,0.5,short,581,580,1000,1000
RSV,low,1.5,5,long,999,999,1000,1000
RSV,low,1.5,5,short,970,970,1000,1000
RSV,low,2.5,0.5,long,745,690,1000,1000
RSV,low,2.5,0.5,short,585,571,1000,1000
RSV,low,2.5,5,long,999,999,1000,1000
RSV,low,2.5,5,short,979,978,1000,1000
RSV,high,1.5,0.5,long,759,724,1000,1000
RSV,high,1.5,0.5,short,609,590,1000,1000
RSV,high,1.5,5,long,1000,999,1000,1000
RSV,high,1.5,5,short,966,964,1000,1000
RSV,high,2.5,0.5,long,747,513,1000,1000
RSV,high,2.5,0.5,short,597,500,1000,1000
RSV,high,2.5,5,long,999,995,1000,1000
RSV,high,2.5,5,short,972,962,1000,1000
measles,low,1.5,0.5,long,748,737,1000,1000
measles,low,1.5,0.5,short,545,529,1000,1000
measles,low,1.5,5,long,999,996,1000,1000
measles,low,1.5,5,short,955,953,1000,1000
measles,low,2.5,0.5,long,767,743,1000,1000
measles,low,2.5,0.5,short,611,607,1000,1000
measles,low,2.5,5,long,1000,1000,1000,1000
measles,low,2.5,5,short,981,982,1000,1000
influenza,low,1.5,0.5,long,758,724,1000,1000
influenza,low,1.5,0.5,short,603,589,1000,1000
influenza,low,1.5,5,long,992,995,996,996
influenza,low,1.5,5,short,969,969,996,996
influenza,low,2.5,0.5,long,738,362,1000,1000
influenza,low,2.5,0.5,short,562,454,1000,1000
influenza,low,2.5,5,long,999,996,1000,1000
influenza,low,2.5,5,short,982,964,1000,1000
